"new_date","rogue_name","rogue_price"
2022-07-07,"Rogue Pyrros Bar - 28MM - Stainless Steel","$615.00"
2022-07-07,"Rogue 25MM IWF Olympic Weightlifting Bar - Cerakote","$575.00"
2022-07-07,"Rogue 28MM IWF Olympic Weightlifting Bar w/ Center Knurl - Bright Zinc","$560.00"
2022-07-07,"Kabuki Kadillac Bar","$495.00"
2022-07-07,"Rogue CB-4 38MM Camber Bar","$495.00"
2022-07-07,"SB-1 - Rogue Safety Squat Bar","$445.00"
2022-07-07,"Rogue 45LB Ohio Power Bar - Stainless Steel","$415.00"
2022-07-07,"Rogue TB-2 Trap Bar","$395.00"
2022-07-07,"Rogue Ohio Deadlift Bar - Black Zinc","$390.00"
2022-07-07,"The Ohio Bar - Stainless Steel","$370.00"
2022-07-07,"Rogue 45LB Ohio Power Bar - Cerakote","$355.00"
2022-07-07,"Rogue Operator Bar 3.0","$355.00"
2022-07-07,"The Ohio Bar - Cerakote","$350.00"
2022-07-07,"The Ohio Bar - Custom","$350.00"
2022-07-07,"Rogue 20KG Ohio Power Bar - Black Zinc","$350.00"
2022-07-07,"Rogue TB-1 Trap Bar 2.0","$325.00"
2022-07-07,"The Ohio Bar - Black Oxide","$320.00"
2022-07-07,"Rogue 45LB Ohio Power Bar - Black Zinc","$305.00"
2022-07-07,"The Ohio Bar - Black Zinc","$305.00"
2022-07-07,"Rogue 45LB Ohio Power Bar - E-Coat","$305.00"
2022-07-07,"The Ohio Bar - E-Coat","$305.00"
2022-07-07,"Rogue Rackable Curl Bar - Cerakote","$305.00"
2022-07-07,"The Bella Bar 2.0 - Cerakote","$295.00"
2022-07-07,"The Bella Bar 2.0 - Custom","$295.00"
2022-07-07,"Rogue C-70S Bar","$295.00"
2022-07-07,"The Rogue Bar 2.0 - Black Zinc","$290.00"
2022-07-07,"Rogue 45LB Ohio Power Bar - Bare Steel","$290.00"
2022-07-07,"BandBell Bars","$289.00"
2022-07-07,"Rogue Echo Bar 2.0","$265.00"
2022-07-07,"Rogue Rackable Curl Bar","$265.00"
2022-07-07,"Rogue Curl Bar - Cerakote","$245.00"
2022-07-07,"The Bella Bar 2.0 - Black Zinc","$235.00"
2022-07-07,"The Bella Bar 2.0 - E-Coat","$235.00"
2022-07-07,"Rogue Curl Bar","$225.00"
2022-07-07,"Rogue Loadable Dumbbells","$200.00"
2022-07-07,"Rogue 10KG Junior Bar","$195.00"
2022-07-07,"OSO Mini Bar","$115.00"
2022-07-07,"Rogue War Bar","$13.25"
2022-07-07,"Rogue Barbell Cleaning Kit","$12.50"
2022-07-07,"The Bella Bar 2.0 - Cerakote Special Pink Edition","$0.10"
